DATE,IMP0004
1989-01-01,37513.2
1989-02-01,38561.7
1989-03-01,39724.7
1989-04-01,38664.7
1989-05-01,40909.6
1989-06-01,39780.9
1989-07-01,38951.3
1989-08-01,40117.3
1989-09-01,39232.9
1989-10-01,40961.2
1989-11-01,40429.0
1989-12-01,38364.0
1990-01-01,41380.4
1990-02-01,39164.4
1990-03-01,41830.0
1990-04-01,39796.9
1990-05-01,40599.8
1990-06-01,40687.0
1990-07-01,41315.8
1990-08-01,41795.6
1990-09-01,41343.8
1990-10-01,43875.5
1990-11-01,43066.4
1990-12-01,39986.1
1991-01-01,41282.2
1991-02-01,39411.9
1991-03-01,38896.7
1991-04-01,39769.4
1991-05-01,40256.0
1991-06-01,39842.7
1991-07-01,40413.4
1991-08-01,40901.9
1991-09-01,41488.2
1991-10-01,42461.9
1991-11-01,41653.4
1991-12-01,41795.0
1992-01-01,41809.5
1992-02-01,41370.6
1992-03-01,42681.2
1992-04-01,43398.8
1992-05-01,43954.1
1992-06-01,44954.1
1992-07-01,44989.4
1992-08-01,45466.5
1992-09-01,45670.9
1992-10-01,46159.5
1992-11-01,45971.2
1992-12-01,46238.6
1993-01-01,45495.0
1993-02-01,45102.0
1993-03-01,48969.0
1993-04-01,48573.0
1993-05-01,47942.0
1993-06-01,49189.0
1993-07-01,48112.0
1993-08-01,47901.0
1993-09-01,49083.0
1993-10-01,50820.0
1993-11-01,49939.0
1993-12-01,49534.0
1994-01-01,50027.0
1994-02-01,50399.0
1994-03-01,52267.0
1994-04-01,52936.0
1994-05-01,53830.0
1994-06-01,55731.0
1994-07-01,56096.0
1994-08-01,57396.0
1994-09-01,57640.0
1994-10-01,57950.0
1994-11-01,59778.0
1994-12-01,59204.0
1995-01-01,60492.0
1995-02-01,59836.0
1995-03-01,61390.0
1995-04-01,62557.0
1995-05-01,62311.0
1995-06-01,62698.0
1995-07-01,62479.0
1995-08-01,62042.0
1995-09-01,62845.0
1995-10-01,62028.0
1995-11-01,62138.0
1995-12-01,62727.0
1996-01-01,63825.0
1996-02-01,63519.0
1996-03-01,63806.0
1996-04-01,64459.0
1996-05-01,66464.0
1996-06-01,66087.0
1996-07-01,66253.0
1996-08-01,67329.0
1996-09-01,68080.0
1996-10-01,67423.0
1996-11-01,68364.0
1996-12-01,69681.0
1997-01-01,69846.0
1997-02-01,70131.0
1997-03-01,70023.0
1997-04-01,71262.0
1997-05-01,72137.0
1997-06-01,71658.0
1997-07-01,73330.0
1997-08-01,73623.0
1997-09-01,74408.0
1997-10-01,74641.0
1997-11-01,73588.0
1997-12-01,75056.0
1998-01-01,74523.0
1998-02-01,74184.0
1998-03-01,76369.0
1998-04-01,76350.0
1998-05-01,76492.0
1998-06-01,74911.0
1998-07-01,74594.0
1998-08-01,75707.0
1998-09-01,76107.0
1998-10-01,77880.0
1998-11-01,77912.0
1998-12-01,76867.0
1999-01-01,77781.0
1999-02-01,79842.0
1999-03-01,79569.0
1999-04-01,80801.0
1999-05-01,83200.0
1999-06-01,85868.0
1999-07-01,87186.0
1999-08-01,87837.0
1999-09-01,88512.0
1999-10-01,89923.0
1999-11-01,90984.0
1999-12-01,93115.0
2000-01-01,93900.0
2000-02-01,95901.0
2000-03-01,99176.0
2000-04-01,99242.0
2000-05-01,99651.0
2000-06-01,103019.0
2000-07-01,103349.0
2000-08-01,103665.0
2000-09-01,106396.0
2000-10-01,106056.0
2000-11-01,103993.0
2000-12-01,103673.0
2001-01-01,105470.0
2001-02-01,100350.0
2001-03-01,101853.0
2001-04-01,98164.0
2001-05-01,95150.0
2001-06-01,94978.0
2001-07-01,93680.0
2001-08-01,92569.0
2001-09-01,90957.0
2001-10-01,91322.0
2001-11-01,89979.0
2001-12-01,86527.0
2002-01-01,89443.0
2002-02-01,91539.0
2002-03-01,91447.0
2002-04-01,95972.0
2002-05-01,96395.0
2002-06-01,97848.0
2002-07-01,97197.0
2002-08-01,99721.0
2002-09-01,99364.0
2002-10-01,96860.0
2002-11-01,102120.0
2002-12-01,103460.0
2003-01-01,102284.0
2003-02-01,101719.0
2003-03-01,105340.0
2003-04-01,103175.0
2003-05-01,102613.0
2003-06-01,103398.0
2003-07-01,105082.0
2003-08-01,101990.0
2003-09-01,105721.0
2003-10-01,107040.0
2003-11-01,107742.0
2003-12-01,111017.0
2004-01-01,110890.0
2004-02-01,113977.0
2004-03-01,118678.0
2004-04-01,118542.0
2004-05-01,120671.0
2004-06-01,124355.0
2004-07-01,122979.0
2004-08-01,124224.0
2004-09-01,124400.0
2004-10-01,128810.0
2004-11-01,131867.0
2004-12-01,130310.0
2005-01-01,132065.0
2005-02-01,134921.0
2005-03-01,130902.0
2005-04-01,137129.0
2005-05-01,135665.0
2005-06-01,137614.0
2005-07-01,137423.0
2005-08-01,139189.0
2005-09-01,143958.0
2005-10-01,148676.0
2005-11-01,146650.0
2005-12-01,149264.0
2006-01-01,152919.0
2006-02-01,148596.0
2006-03-01,150759.0
2006-04-01,151278.0
2006-05-01,154996.0
2006-06-01,155279.0
2006-07-01,156232.0
2006-08-01,159838.0
2006-09-01,157913.0
2006-10-01,153411.0
2006-11-01,154406.0
2006-12-01,158312.0
2007-01-01,156000.0
2007-02-01,155097.0
2007-03-01,161806.0
2007-04-01,159655.0
2007-05-01,161050.0
2007-06-01,163137.0
2007-07-01,163679.0
2007-08-01,163444.0
2007-09-01,164883.0
2007-10-01,166868.0
2007-11-01,171602.0
2007-12-01,169741.0
2008-01-01,175412.0
2008-02-01,179496.0
2008-03-01,175126.0
2008-04-01,182776.0
2008-05-01,183767.0
2008-06-01,186963.0
2008-07-01,194334.0
2008-08-01,186261.0
2008-09-01,175833.0
2008-10-01,174067.0
2008-11-01,150372.0
2008-12-01,139234.0
2009-01-01,129116.0
2009-02-01,121807.0
2009-03-01,121885.0
2009-04-01,120572.0
2009-05-01,118736.0
2009-06-01,122156.0
2009-07-01,129912.0
2009-08-01,128770.0
2009-09-01,136267.0
2009-10-01,139309.0
2009-11-01,143475.0
2009-12-01,147620.0
2010-01-01,146808.0
2010-02-01,150520.0
2010-03-01,153982.0
2010-04-01,153706.0
2010-05-01,158128.0
2010-06-01,162202.0
2010-07-01,159664.0
2010-08-01,164528.0
2010-09-01,163835.0
2010-10-01,165302.0
2010-11-01,164893.0
2010-12-01,170290.0
2011-01-01,178698.0
2011-02-01,174228.0
2011-03-01,181256.0
2011-04-01,181060.0
2011-05-01,185321.0
2011-06-01,185391.0
2011-07-01,185822.0
2011-08-01,185727.0
2011-09-01,185718.0
2011-10-01,186685.0
2011-11-01,187195.0
2011-12-01,190853.0
2012-01-01,191550.695566178
2012-02-01,186726.53279955
2012-03-01,196615.375406
2012-04-01,192329.297392469
2012-05-01,191026.564856353
2012-06-01,188829.751256966
2012-07-01,187644.617534558
2012-08-01,187209.20583508
2012-09-01,188747.894052944
2012-10-01,185822.273399372
2012-11-01,192148.259164916
2012-12-01,187616.679934614
2013-01-01,189809.286743494
2013-02-01,192655.256873103
2013-03-01,183966.667725685
2013-04-01,188166.353303971
2013-05-01,190945.640220082
2013-06-01,186853.700833808
2013-07-01,187817.081221545
2013-08-01,188180.379091783
2013-09-01,191294.858643186
2013-10-01,191086.941606565
2013-11-01,189221.421851066
2013-12-01,187989.145507712
2014-01-01,191306.59605
2014-02-01,192299.48865
2014-03-01,198508.05776
2014-04-01,200137.50219
2014-05-01,197948.02898
2014-06-01,195901.55087
2014-07-01,196925.2261
2014-08-01,196015.00945
2014-09-01,197636.47177
2014-10-01,197725.52563
2014-11-01,194642.79005
2014-12-01,197309.82486
2015-01-01,190086.843
2015-02-01,183460.376
2015-03-01,198017.732
2015-04-01,189710.415
2015-05-01,187300.883
2015-06-01,190415.105
2015-07-01,187564.744
2015-08-01,188632.877
2015-09-01,186778.738
2015-10-01,183863.523
2015-11-01,181536.077
2015-12-01,181444.039
2016-01-01,177404.0
2016-02-01,182151.0
2016-03-01,174948.0
2016-04-01,177966.0
2016-05-01,179964.0
2016-06-01,183860.0
2016-07-01,183500.0
2016-08-01,184388.0
2016-09-01,183218.0
2016-10-01,183547.0
2016-11-01,187301.0
2016-12-01,188538.0
2017-01-01,193261.8683423948
2017-02-01,190401.4582023576
2017-03-01,191156.25098597
2017-04-01,193838.1424689876
2017-05-01,192116.58654562916
2017-06-01,192985.56309591103
2017-07-01,191604.6383340937
2017-08-01,191728.00520263737
2017-09-01,193973.86943046632
2017-10-01,196998.9160808667
2017-11-01,203634.4820210229
2017-12-01,207891.54930766308
2018-01-01,206553.23032780635
2018-02-01,210566.13177956344
2018-03-01,208532.82485529353
2018-04-01,209993.39635097588
2018-05-01,208636.64580297767
2018-06-01,209572.02722997917
2018-07-01,212417.06077631636
2018-08-01,212257.98207749912
2018-09-01,215409.59455525357
2018-10-01,217026.41494743308
2018-11-01,210969.7265359823
2018-12-01,214210.23843891956
2019-01-01,209025.2536827451
2019-02-01,209281.382239977
2019-03-01,210780.74773888345
2019-04-01,208800.17273999937
2019-05-01,214094.93045083183
2019-06-01,209355.71690066232
2019-07-01,209386.81178706483
2019-08-01,209358.06751901863
2019-09-01,204455.6305837616
2019-10-01,202068.37160224383
2019-11-01,200193.46703043013
2019-12-01,204899.0154503816
2020-01-01,201832.56670359432
2020-02-01,198350.86054620484
2020-03-01,190930.77955719217
2020-04-01,168463.5454275583
2020-05-01,166190.50324874374
2020-06-01,174089.27967598548
2020-07-01,195077.27307607775
2020-08-01,200879.1687028231
2020-09-01,200428.27774660024
